DISTRICT,dt_code,Rainfall,Blocks
"JALPAIGURI",328,29312.37,9
"KOCH BIHAR",329,35463.74,12
"UTTAR DINAJPUR",330,21571.95,9
"DAKSHIN DINAJPUR",331,22565.57,8
"MALDAH",332,20739.34,15
"MURSHIDABAD",333,25585.05,26
"BIRBHUM",334,29687.64,19
"BARDDHAMAN",335,32334.48,31
"NADIA",336,28620.25,18
"NORTH 24 PARGANAS",337,29295.47,22
"HUGLI",338,29060.98,18
"BANKURA",339,27579.79,22
"PURULIYA",340,18761.24,20
"HAORA",341,31890.85,14
"KOLKATA",342,32368.62,0
"SOUTH 24 PARGANAS",343,30010.43,29
"PASHCHIM MEDINIPUR",344,26996.98,21
"PURBA MEDINIPUR",345,27519.77,25
"DARJILING",775,35368.01,9
